threshold,top1_accuracy,top3_accuracy,mrr,fallback_rate,out_of_scope_catch_rate,end_to_end_accuracy,correct_responses,incorrect_matches,refused_in_scope,oov_refused
0.1,0.7113,0.8247,0.7629,0.055,0.3333,0.6697,69,26,2,4
0.15,0.7113,0.8247,0.7629,0.055,0.3333,0.6697,69,26,2,4
0.2,0.7113,0.8247,0.7629,0.055,0.3333,0.6697,69,26,2,4
0.25,0.7113,0.8247,0.7629,0.0734,0.4167,0.6789,69,25,3,5
0.3,0.7113,0.8247,0.7629,0.1284,0.4167,0.6606,67,21,9,5
0.35,0.7113,0.8247,0.7629,0.211,0.6667,0.6606,64,18,15,8
0.4,0.7113,0.8247,0.7629,0.3028,0.75,0.6239,59,14,24,9
0.45,0.7113,0.8247,0.7629,0.4404,0.75,0.5229,48,10,39,9
0.5,0.7113,0.8247,0.7629,0.5046,0.8333,0.4954,44,8,45,10
0.55,0.7113,0.8247,0.7629,0.6055,0.8333,0.4495,39,2,56,10
0.6,0.7113,0.8247,0.7629,0.6514,1.0,0.4404,36,2,59,12
0.65,0.7113,0.8247,0.7629,0.7431,1.0,0.367,28,0,69,12
0.7,0.7113,0.8247,0.7629,0.8165,1.0,0.2936,20,0,77,12
